"";"requested";"funded";"interestrate";"loanlength";"loanpurpose";"debt_income";"state";"homeownership";"monthlyincome";"FICOrange";"opencreditlines";"revolvingcredit";"inquiries";"emplength";"bal_income";"bal_yearincome";"fundedPerc";"FICOavg"
"40727";10000;10000;0,1242;"36 months";"credit_card";0,0977;"CA";"RENT";3500;"705-709";9;10912;1;2;3,11771428571429;0,259809523809524;1;707
"59413";24000;23975;0,1016;"36 months";"debt_consolidation";0,1553;"OH";"MORTGAGE";5416,67;"720-724";11;17882;0;11;3,30129027612906;0,275107523010755;0,998958333333333;722
"91853";24000;24000;0,079;"36 months";"debt_consolidation";0,1355;"GA";"MORTGAGE";7233,33;"705-709";6;26039;0;0;3,5998634100753;0,299988617506275;1;707
"71008";15475;15450;0,1409;"36 months";"debt_consolidation";0,2698;"SC";"MORTGAGE";3750;"685-689";14;19670;0;11;5,24533333333333;0,437111111111111;0,998384491114701;687
"59890";25000;25000;0,21;"36 months";"debt_consolidation";0,0952;"NY";"RENT";8333,33;"670-674";11;8575;1;11;1,02900041160016;0,0857500343000137;1;672
"42306";13000;12975;0,0991;"36 months";"credit_card";0,156;"CA";"RENT";2333,33;"730-734";12;4487;3;5;1,92300274714678;0,160250228928898;0,998076923076923;732
"47168";7550;7550;0,0762;"36 months";"wedding";0,1461;"AZ";"MORTGAGE";2512;"730-734";7;2814;0;5;1,12022292993631;0,0933519108280255;1;732
"77588";9600;9600;0,1531;"36 months";"credit_card";0,3324;"AR";"RENT";3166,67;"685-689";8;14774;3;2;4,66546877319077;0,388789064432564;1;687
"14407";15000;14950;0,1521;"60 months";"debt_consolidation";0,1465;"CA";"RENT";5416,67;"700-704";11;9171;2;11;1,69310665039591;0,141092220866326;0,996666666666667;702
"102902";7000;6975;0,1411;"36 months";"debt_consolidation";0,2167;"NJ";"RENT";4166,67;"675-679";7;60550;3;11;14,5319883744093;1,21099903120078;0,996428571428571;677
"71247";1000;1000;0,1531;"36 months";"debt_consolidation";0,2945;"TX";"MORTGAGE";2166,67;"665-669";9;1748;0;6;0,806767989587708;0,0672306657989757;1;667
"6611";25000;24798,43;0,1287;"36 months";"debt_consolidation";0,1881;"MA";"RENT";6666,67;"720-724";13;31890;1;1;4,7834976082512;0,3986248006876;0,9919372;722
"80041";24000;24000;0,1433;"36 months";"credit_card";0,2549;"GA";"MORTGAGE";11208,33;"725-729";23;19428;2;11;1,73335367534682;0,144446139612235;1;727
"78104";21000;21000;0,1849;"60 months";"debt_consolidation";0,2173;"CO";"RENT";16416,67;"700-704";21;62549;1;1;3,81009059693592;0,31750754974466;1;702
"59886";1000;1000;0,1311;"36 months";"debt_consolidation";0,3071;"AZ";"RENT";1833,33;"670-674";7;6283;0;3;3,42709714017662;0,285591428348052;1;672
"22323";16000;16000;0,0963;"60 months";"other";0,1658;"SC";"OWN";5000;"780-784";6;2300;0;11;0,46;0,0383333333333333;1;782
"40094";24400;24400;0,1727;"60 months";"small_business";0,1598;"CA";"RENT";6000;"725-729";7;13879;1;3;2,31316666666667;0,192763888888889;1;727
"75168";14675;14675;0,079;"36 months";"debt_consolidation";0,174;"NY";"MORTGAGE";3166,67;"720-724";7;22549;0;11;7,12072934660069;0,593394112216724;1;722
"79248";12000;12000;0,1905;"36 months";"credit_card";0,1961;"KS";"MORTGAGE";4583,33;"660-664";8;8970;0;11;1,95709233243079;0,163091027702566;1;662
"73010";8000;8000;0,1311;"36 months";"credit_card";0,2135;"TX";"OWN";3541,67;"700-704";13;6885;2;NA;1,94399817035466;0,161999847529555;1;702
"47048";12000;12000;0,1311;"36 months";"credit_card";0,0805;"FL";"MORTGAGE";3416,67;"685-689";6;7708;0;4;2,25599779902654;0,187999816585545;1;687
"10006";16800;10075;0,1099;"60 months";"debt_consolidation";0,1342;"MN";"MORTGAGE";5416,67;"730-734";10;7258;3;3;1,33993763696145;0,111661469746788;0,599702380952381;732
"75518";14500;14500;0,1433;"36 months";"debt_consolidation";0,1797;"CA";"RENT";3500;"680-684";7;10846;0;6;3,09885714285714;0,258238095238095;1;682
"2823";25000;3925;0,1663;"36 months";"debt_consolidation";0,1846;"NJ";"RENT";8000;"680-684";11;39502;0;11;4,93775;0,411479166666667;0,157;682
"54131";28625;28625;0,1311;"60 months";"debt_consolidation";0,2131;"TX";"MORTGAGE";4833,33;"740-744";9;35863;0;5;7,4199361516801;0,618328012640009;1;742
"70334";21000;21000;0,2295;"60 months";"home_improvement";0,0652;"NJ";"MORTGAGE";20833,33;"670-674";5;1240;3;11;0,0595200095232015;0,00496000079360013;1;672
"55717";7500;7500;0,0976;"60 months";"other";0,1496;"IL";"MORTGAGE";7083,33;"780-784";11;16449;1;11;2,32221285751193;0,193517738125994;1;782
"12368";11875;11775;0,1038;"36 months";"debt_consolidation";0,2252;"OR";"MORTGAGE";6000;"730-734";11;28210;2;11;4,70166666666667;0,391805555555556;0,991578947368421;732
"47011";3600;3600;0,1367;"36 months";"other";0,1641;"CA";"MORTGAGE";5113;"690-694";10;715;1;NA;0,139839624486603;0,0116533020405502;1;692
"86309";16000;16000;0,1531;"36 months";"debt_consolidation";0,201;"TX";"RENT";5924,5;"695-699";11;9365;1;11;1,58072411173939;0,131727009311616;1;697
"74257";20500;20500;0,2328;"60 months";"debt_consolidation";0,2485;"CA";"RENT";4333,33;"660-664";13;4699;0;5;1,08438544952727;0,0903654541272724;1;662
"39713";10000;10000;0,1825;"36 months";"credit_card";0,2414;"CA";"RENT";6250;"665-669";9;22828;0;1;3,65248;0,304373333333333;1;667
"31573";15000;15000;0,1749;"60 months";"debt_consolidation";0,1122;"CT";"RENT";3333,33;"695-699";4;6147;2;NA;1,84410184410184;0,153675153675154;1;697
"26493";10000;10000;0,1199;"36 months";"other";0,2189;"CA";"MORTGAGE";3417;"680-684";13;18069;0;4;5,28797190517998;0,440664325431665;1;682
"32982";11000;11000;0,1171;"36 months";"debt_consolidation";0,078;"TX";"OWN";3820,27;"685-689";7;6844;0;2;1,79149641255723;0,149291367713102;1;687
"101403";25000;25000;0,1905;"60 months";"credit_card";0,2846;"VA";"RENT";5833,33;"690-694";20;33127;0;1;5,67891753081002;0,473243127567502;1;692
"99661";15000;15000;0,1016;"36 months";"debt_consolidation";0,2675;"IL";"MORTGAGE";7666,67;"675-679";16;71879;1;5;9,37551766281841;0,781293138568201;1;677
"67222";5600;5600;0,1409;"36 months";"debt_consolidation";0,2635;"SC";"RENT";3833,33;"665-669";19;16163;0;5;4,21643844907691;0,351369870756409;1;667
"41977";20000;20000;0,1171;"36 months";"debt_consolidation";0,152;"CA";"RENT";4583,33;"720-724";15;16575;2;5;3,61636626644819;0,30136385553735;1;722
"91765";25450;25450;0,1972;"60 months";"credit_card";0,3375;"FL";"OWN";4750;"665-669";20;14435;1;11;3,03894736842105;0,253245614035088;1;667
"11648";7000;7000;0,1112;"36 months";"debt_consolidation";0,0906;"TX";"RENT";6333,33;"715-719";6;349;0;11;0,0551052921606801;0,00459210768005667;1;717
"51810";10400;10400;0,1212;"36 months";"credit_card";0,1892;"MA";"RENT";3333,33;"690-694";11;11964;0;11;3,58920358920359;0,299100299100299;1;692
"14108";25000;24975;0,1484;"36 months";"credit_card";0,1588;"NY";"RENT";7250;"705-709";6;10770;2;11;1,48551724137931;0,123793103448276;0,999;707
"102270";20000;13000;0,1197;"36 months";"other";0,1896;"KS";"MORTGAGE";7501;"705-709";17;17212;7;1;2,2946273830156;0,191218948584633;0,65;707
"16300";16000;15800;0,1743;"60 months";"credit_card";0,1307;"FL";"MORTGAGE";4583,33;"675-679";7;5729;0;11;1,24996454542876;0,104163712119063;0,9875;677
"82744";15000;15000;0,079;"36 months";"major_purchase";0,2239;"CA";"MORTGAGE";7500;"725-729";10;18756;0;11;2,5008;0,2084;1;727
"94041";24625;24625;0,1972;"60 months";"debt_consolidation";0,2096;"NY";"RENT";5166,67;"675-679";14;20694;0;8;4,00528773852404;0,333773978210337;1;677
"99568";21850;21850;0,1311;"36 months";"credit_card";0,2808;"MN";"RENT";4166,67;"690-694";12;20497;0;0;4,91927606457915;0,409939672048262;1;692
"66550";6000;6000;0,1531;"36 months";"debt_consolidation";0,1568;"NC";"MORTGAGE";7500;"670-674";10;5263;1;3;0,701733333333333;0,0584777777777778;1;672
"102756";6700;6636,91;0,16;"36 months";"debt_consolidation";0,2153;"GA";"MORTGAGE";4700;"725-729";11;9007;9;2;1,9163829787234;0,159698581560284;0,990583582089552;727
"3962";10000;9225,43;0,1221;"36 months";"moving";0,1045;"MA";"RENT";7667;"700-704";9;17328;0;2;2,26007564888483;0,188339637407069;0,922543;702
"83847";5775;5775;0,1531;"36 months";"debt_consolidation";0,0408;"SC";"RENT";5000;"670-674";8;10088;2;11;2,0176;0,168133333333333;1;672
"33997";14475;14475;0,1527;"36 months";"credit_card";0,2369;"NJ";"RENT";4166,67;"680-684";12;13294;1;3;3,19055744755404;0,26587978729617;1;682
"72499";8000;8000;0,1727;"36 months";"debt_consolidation";0,2788;"IL";"RENT";2833,33;"670-674";10;9926;3;6;3,5032982391744;0,2919415199312;1;672
"92186";15000;15000;0,1212;"36 months";"debt_consolidation";0,1422;"FL";"MORTGAGE";5416,67;"700-704";10;9237;0;0;1,7052912582823;0,142107604856859;1;702
"80094";10000;10000;0,1777;"36 months";"debt_consolidation";0,1241;"PA";"MORTGAGE";4166,67;"680-684";6;31212;0;8;7,49087400730079;0,6242395006084;1;682
"32684";5600;5600;0,1349;"36 months";"debt_consolidation";0,1833;"NY";"RENT";2870,33;"690-694";6;5033;2;5;1,75345691958764;0,146121409965637;1;692
"14595";10000;10000;0,1632;"60 months";"home_improvement";0,148;"WV";"RENT";2290;"685-689";5;394;2;NA;0,172052401746725;0,0143377001455604;1;687
"96564";13000;13000;0,1409;"36 months";"debt_consolidation";0,3264;"PA";"MORTGAGE";5000;"675-679";8;15208;0;11;3,0416;0,253466666666667;1;677
"17157";15000;10825;0,0999;"60 months";"debt_consolidation";0,1195;"AZ";"MORTGAGE";1958,33;"745-749";8;3584;1;2;1,83013077469068;0,15251089789089;0,721666666666667;747
"79363";2100;2100;0,1212;"36 months";"credit_card";0,2577;"MN";"RENT";2555,16;"680-684";8;21190;0;11;8,2930227461294;0,691085228844117;1;682
"70571";12000;12000;0,1212;"36 months";"debt_consolidation";0,2048;"NV";"MORTGAGE";7666,67;"685-689";10;5832;0;2;0,760695321436817;0,0633912767864014;1;687
"3660";1000;1000;0,1316;"36 months";"other";0,1963;"MI";"RENT";3500;"670-674";9;11189;2;2;3,19685714285714;0,266404761904762;1;672
"65335";16000;16000;0,1409;"60 months";"small_business";0,0778;"PA";"RENT";4166,67;"735-739";6;4240;3;2;1,01759918592065;0,0847999321600543;1;737
"36283";14000;14000;0,079;"36 months";"credit_card";0,2169;"IL";"RENT";3162,25;"730-734";12;13579;0;9;4,29409439481382;0,357841199567818;1;732
"100086";14000;14000;0,1016;"36 months";"debt_consolidation";0,1344;"CA";"RENT";7916,67;"690-694";16;19621;0;NA;2,47844106170903;0,206536755142419;1;692
"3406";20000;3850;0,1221;"36 months";"debt_consolidation";0,1463;"NY";"RENT";6000;"725-729";8;28585;0;11;4,76416666666667;0,397013888888889;0,1925;727
"4799";17000;15865,55;0,1114;"36 months";"debt_consolidation";0,0665;"AZ";"MORTGAGE";6333,33;"760-764";7;6542;1;7;1,03294791207785;0,0860789926731541;0,933267647058823;762
"21789";7350;7350;0,1074;"60 months";"debt_consolidation";0,2982;"WA";"MORTGAGE";5000;"745-749";15;15093;1;4;3,0186;0,25155;1;747
"9281";10000;9500;0,1025;"36 months";"major_purchase";0,1293;"NY";"RENT";4841,67;"775-779";4;0;1;4;0;0;0,95;777
"8424";20000;19796,41;0,1136;"36 months";"debt_consolidation";0,0834;"PA";"MORTGAGE";15416,67;"710-714";10;46501;0;11;3,01628042891234;0,251356702409362;0,9898205;712
"7967";7000;7000;0,0714;"36 months";"credit_card";0,0544;"MN";"MORTGAGE";3807,64;"760-764";7;7196;0;5;1,88988454790894;0,157490378992412;1;762
"76489";6000;6000;0,1212;"60 months";"other";0,0931;"CA";"RENT";9583,33;"715-719";12;27756;0;2;2,89627926827105;0,241356605689254;1;717
"19321";12000;12000;0,1;"36 months";"debt_consolidation";0,1232;"WI";"MORTGAGE";5000;"715-719";6;4515;1;7;0,903;0,07525;1;717
"73614";4225;4225;0,0603;"36 months";"small_business";0,1452;"NY";"MORTGAGE";2583,33;"750-754";17;3907;0;4;1,51238904824393;0,126032420686994;1;752
"599";14700;1973,77;0,1229;"36 months";"debt_consolidation";0,2194;"CT";"RENT";3100;"700-704";14;14694;2;8;4,74;0,395;0,134270068027211;702
"11084";2500;2500;0,0676;"36 months";"debt_consolidation";0,0699;"WI";"MORTGAGE";4750;"755-759";15;4658;2;4;0,980631578947368;0,081719298245614;1;757
"15135";4800;4775;0,1484;"36 months";"moving";0;"CA";"RENT";2500;"670-674";4;0;0;2;0;0;0,994791666666667;672
"43572";6000;6000;0,1596;"36 months";"credit_card";0,221;"MI";"RENT";5583,33;"665-669";9;36748;3;5;6,58173527267777;0,548477939389815;1;667
"62900";6000;6000;0,0603;"36 months";"credit_card";0,0565;"AL";"MORTGAGE";7083,33;"750-754";15;5747;0;4;0,81134155827838;0,0676117965231984;1;752
"85201";1800;1800;0,1531;"36 months";"other";0,0679;"OK";"MORTGAGE";6416,67;"670-674";6;3394;2;7;0,528934790163745;0,0440778991803121;1;672
"69401";7200;7200;0,158;"36 months";"debt_consolidation";0,2532;"FL";"MORTGAGE";3333,33;"675-679";13;8903;1;6;2,67090267090267;0,222575222575223;1;677
"52823";6000;6000;0,1212;"36 months";"home_improvement";0,2389;"TX";"MORTGAGE";8000;"680-684";8;16139;0;2;2,017375;0,168114583333333;1;682
"93551";15300;14850;0,1114;"36 months";"debt_consolidation";0,1131;"OH";"MORTGAGE";6833,33;"670-674";11;7106;2;11;1,03990294629412;0,0866585788578434;0,970588235294118;672
"2645";5000;5000;0,0932;"36 months";"home_improvement";0,0389;"MN";"MORTGAGE";2083,33;"775-779";4;3901;2;4;1,87248299597279;0,156040249664399;1;777
"62663";10500;10500;0,1777;"36 months";"credit_card";0,1233;"PA";"MORTGAGE";4583,33;"665-669";9;18936;1;5;4,13149391381376;0,34429115948448;1;667
"79948";6625;6625;0,1777;"36 months";"debt_consolidation";0,1168;"CA";"RENT";10268,25;"660-664";9;3563;0;2;0,346991941177903;0,0289159950981586;1;662
"71685";16000;16000;0,2247;"60 months";"credit_card";0,1127;"CA";"RENT";4791,67;"665-669";5;8474;0;2;1,7684857262708;0,147373810522567;1;667
"100140";22000;22000;0,1629;"60 months";"debt_consolidation";0,2633;"WI";"RENT";4166,67;"675-679";10;25245;0;5;6,05879515296388;0,504899596080323;1;677
"11304";5000;5000;0,1521;"60 months";"house";0,1038;"CA";"RENT";6833,33;"680-684";11;5045;1;8;0,738293043069777;0,0615244202558148;1;682
"89582";20000;20000;0,089;"36 months";"credit_card";0,1079;"IL";"RENT";12083,33;"680-684";8;25672;0;1;2,12457989643583;0,177048324702986;1;682
"23686";1500;1500;0,1306;"36 months";"major_purchase";0,2082;"TX";"MORTGAGE";7083,33;"670-674";8;4665;1;6;0,658588545218139;0,0548823787681782;1;672
"28812";8000;8000;0,0749;"36 months";"car";0,0286;"CT";"MORTGAGE";5666,67;"730-734";7;5964;0;11;1,05246996913531;0,087705830761276;1;732
"57235";18225;18225;0,1629;"60 months";"debt_consolidation";0,3219;"AL";"MORTGAGE";7166,67;"705-709";19;29219;2;4;4,07706787113122;0,339755655927602;1;707
"73371";5000;5000;0,0762;"36 months";"debt_consolidation";0,0843;"OH";"MORTGAGE";2916,67;"740-744";6;12444;1;11;4,26650940970353;0,355542450808628;1;742
"53062";10000;10000;0,1399;"36 months";"debt_consolidation";0,1073;"NC";"RENT";2629;"685-689";5;10029;0;NA;3,81475846329403;0,317896538607836;1;687
"65567";8000;8000;0,1777;"36 months";"small_business";0,2856;"MN";"RENT";2083,33;"670-674";4;9059;0;6;4,34832695732313;0,362360579776928;1;672
"104040";6000;6000;0,1075;"36 months";"debt_consolidation";0,1205;"NJ";"RENT";6000;"720-724";14;25090;4;11;4,18166666666667;0,348472222222222;1;722
"18942";24250;24225;0,1862;"60 months";"debt_consolidation";0,2274;"RI";"RENT";5000;"685-689";13;14392;1;2;2,8784;0,239866666666667;0,998969072164948;687
"42555";8700;8700;0,1269;"36 months";"home_improvement";0,0502;"NY";"RENT";14166,67;"675-679";11;19036;0;0;1,34371733089004;0,111976444240837;1;677
"34403";20400;20375;0,1465;"60 months";"debt_consolidation";0,1038;"VA";"RENT";6733,33;"725-729";8;11149;2;6;1,65579289890738;0,137982741575615;0,998774509803922;727
"47998";9000;9000;0,0662;"36 months";"other";0,1614;"MT";"RENT";3333,33;"740-744";10;8689;0;6;2,60670260670261;0,217225217225217;1;742
"70942";16100;16100;0,1114;"36 months";"debt_consolidation";0,2536;"MO";"MORTGAGE";6250;"715-719";14;9737;0;11;1,55792;0,129826666666667;1;717
"75067";35000;35000;0,21;"36 months";"debt_consolidation";0,1105;"LA";"MORTGAGE";7702;"670-674";8;11346;0;11;1,47312386393145;0,122760321994287;1;672
"21036";4600;4600;0,0766;"36 months";"debt_consolidation";0,0914;"MO";"MORTGAGE";6500;"700-704";9;12942;0;7;1,99107692307692;0,165923076923077;1;702
"102309";14400;5325;0,1418;"36 months";"credit_card";0,2304;"MO";"MORTGAGE";4583,33;"685-689";13;17568;4;11;3,8330209694698;0,319418414122483;0,369791666666667;687
"81788";5000;5000;0,1114;"36 months";"other";0,1361;"NY";"RENT";3333,33;"685-689";10;8436;0;NA;2,53080253080253;0,210900210900211;1;687
"60201";5500;5500;0,1905;"36 months";"home_improvement";0,0233;"GA";"OWN";7500;"660-664";3;2530;1;7;0,337333333333333;0,0281111111111111;1;662
"11835";25000;15800;0,1398;"60 months";"debt_consolidation";0,2023;"PA";"MORTGAGE";5416,67;"720-724";13;21168;2;11;3,90793605665473;0,325661338054561;0,632;722
"72655";5000;5000;0,1409;"36 months";"debt_consolidation";0,1118;"AZ";"RENT";10625;"670-674";8;8054;0;1;0,758023529411765;0,0631686274509804;1;672
"51070";10000;10000;0,1465;"36 months";"debt_consolidation";0,1204;"CA";"RENT";2791,67;"710-714";6;12139;1;3;4,34829331547067;0,362357776289222;1;712
"3532";20000;13975;0,1189;"36 months";"home_improvement";0,0289;"AL";"MORTGAGE";5050;"740-744";6;6863;4;11;1,3590099009901;0,113250825082508;0,69875;742
"19831";10000;10000;0,1714;"36 months";"debt_consolidation";0,0959;"MA";"RENT";1658;"680-684";3;4902;0;0;2,95657418576598;0,246381182147165;1;682
"56446";17000;17000;0,0976;"36 months";"debt_consolidation";0,236;"NJ";"RENT";5416,67;"740-744";16;5992;4;11;1,10621470386787;0,0921845586556562;1;742
"92839";25000;25000;0,2247;"60 months";"credit_card";0,2362;"TX";"MORTGAGE";5000;"665-669";16;25348;1;3;5,0696;0,422466666666667;1;667
"74939";5000;5000;0,079;"36 months";"debt_consolidation";0,0728;"NY";"RENT";8666,67;"710-714";9;4572;0;1;0,527538258639131;0,0439615215532609;1;712
"59190";6000;6000;0,1311;"36 months";"credit_card";0,2134;"RI";"MORTGAGE";5416,67;"685-689";19;15107;2;11;2,78898289908745;0,232415241590621;1;687
"56692";8000;8000;0,1727;"36 months";"credit_card";0,0732;"NY";"RENT";5833,33;"670-674";8;5350;2;4;0,917143381224789;0,0764286151020658;1;672
"84593";12000;12000;0,1409;"36 months";"wedding";0,1533;"CA";"RENT";8666,67;"695-699";10;9624;1;1;1,11046111136111;0,0925384259467592;1;697
"5724";3000;3000;0,0894;"36 months";"other";0,1342;"NY";"RENT";4500;"720-724";9;2541;2;0;0,564666666666667;0,0470555555555556;1;722
"15351";5000;5000;0,0617;"60 months";"major_purchase";0,1152;"NY";"RENT";1667;"770-774";6;1108;0;3;0,664667066586683;0,0553889222155569;1;772
"70412";3200;3200;0,1016;"36 months";"debt_consolidation";0,1617;"CA";"MORTGAGE";3750;"705-709";9;4283;1;6;1,14213333333333;0,0951777777777778;1;707
"77240";7625;7625;0,1849;"36 months";"credit_card";0,1579;"NC";"RENT";3166,67;"670-674";4;8030;0;5;2,53578680443494;0,211315567036245;1;672
"27710";3000;3000;0,2211;"60 months";"other";0;"MN";"OWN";1471;"690-694";3;0;0;6;0;0;1;692
"25655";5000;5000;0,1149;"36 months";"home_improvement";0,0662;"NC";"MORTGAGE";3125;"730-734";4;7187;1;1;2,29984;0,191653333333333;1;732
"27832";18500;18500;0,1299;"36 months";"debt_consolidation";0,0796;"NY";"RENT";5000;"685-689";6;13490;0;11;2,698;0,224833333333333;1;687
"80208";18000;18000;0,1409;"36 months";"debt_consolidation";0,1545;"OR";"MORTGAGE";4000;"690-694";11;13877;0;5;3,46925;0,289104166666667;1;692
"27425";4200;4200;0,1059;"36 months";"car";0,1153;"GA";"RENT";3000;"695-699";11;10067;0;7;3,35566666666667;0,279638888888889;1;697
"21033";5000;4975;0,0729;"36 months";"vacation";0,0233;"GA";"MORTGAGE";5416,67;"725-729";8;2937;1;11;0,542215050944584;0,0451845875787153;0,995;727
"34961";19000;19000;0,1171;"60 months";"credit_card";0,1379;"NJ";"MORTGAGE";4791,67;"730-734";9;16348;0;5;3,41175414834494;0,284312845695412;1;732
"38145";15000;15000;0,1677;"36 months";"debt_consolidation";0,0729;"MD";"RENT";7916,67;"675-679";5;5355;1;6;0,676420767822835;0,0563683973185695;1;677
"77673";18625;18625;0,1972;"60 months";"credit_card";0,2298;"AL";"RENT";4000;"680-684";15;26050;2;9;6,5125;0,542708333333333;1;682
"51812";6075;6075;0,0762;"36 months";"debt_consolidation";0,2825;"OR";"RENT";1083,33;"720-724";8;11539;0;NA;10,6514173889766;0,887618115748048;1;722
"94947";12500;12500;0,1531;"36 months";"debt_consolidation";0,1767;"TX";"MORTGAGE";3916,67;"690-694";7;8221;3;11;2,0989769370409;0,174914744753409;1;692
"49573";5000;5000;0,1531;"36 months";"debt_consolidation";0,0491;"CA";"RENT";7083,33;"665-669";12;8225;1;5;1,16117701702448;0,0967647514187066;1;667
"61720";10000;10000;0,1212;"36 months";"credit_card";0,2306;"MA";"RENT";3083,33;"690-694";14;13638;0;3;4,42313991690802;0,368594993075668;1;692
"42743";8000;8000;0,1677;"36 months";"credit_card";0,2099;"TX";"RENT";3750;"660-664";6;4010;0;5;1,06933333333333;0,0891111111111111;1;662
"50398";20000;19975;0,1581;"36 months";"debt_consolidation";0,2142;"CO";"RENT";5000;"680-684";12;24352;1;0;4,8704;0,405866666666667;0,99875;682
"40343";9600;9600;0,1349;"36 months";"credit_card";0,1504;"PA";"RENT";4250;"685-689";17;7713;1;1;1,81482352941176;0,151235294117647;1;687
"52548";3600;3600;0,0976;"36 months";"credit_card";0,1134;"MI";"RENT";2108,33;"695-699";14;4467;0;NA;2,11873852764985;0,176561543970821;1;697
"96704";14075;14075;0,1875;"36 months";"other";0,1296;"NY";"RENT";3033,33;"690-694";6;13036;0;8;4,29758714020565;0,358132261683804;1;692
"10059";3000;3000;0,0751;"36 months";"major_purchase";0,1131;"CT";"RENT";3500;"735-739";9;0;2;3;0;0;1;737
"82534";35000;34975;0,1016;"36 months";"debt_consolidation";0,2556;"NY";"RENT";9220;"760-764";12;40782;1;11;4,42321041214751;0,368600867678959;0,999285714285714;762
"25767";1700;1700;0,0699;"36 months";"car";0,052;"VA";"RENT";2250;"750-754";4;4527;0;5;2,012;0,167666666666667;1;752
"9244";8800;8800;0,0751;"36 months";"other";0,2073;"PA";"MORTGAGE";4833;"790-794";6;306;4;5;0,0633147113594041;0,00527622594661701;1;792
"6045";24250;23985,41;0,1218;"36 months";"debt_consolidation";0,1765;"CA";"MORTGAGE";8910,42;"740-744";16;81940;0;11;9,1959750494365;0,766331254119708;0,989089072164948;742
"5073";10750;10166,42;0,1114;"36 months";"credit_card";0,1191;"MA";"MORTGAGE";4416,67;"720-724";9;12619;1;2;2,85712991914723;0,238094159928936;0,945713488372093;722
"38378";6000;6000;0,1596;"36 months";"debt_consolidation";0,2485;"CA";"MORTGAGE";3264;"660-664";13;6347;1;11;1,94454656862745;0,162045547385621;1;662
"99189";15000;15000;0,1016;"36 months";"credit_card";0,1857;"CA";"MORTGAGE";5000;"700-704";13;33389;0;11;6,6778;0,556483333333333;1;702
"66604";15000;15000;0,1433;"36 months";"credit_card";0,1638;"MD";"MORTGAGE";5500;"700-704";10;12413;2;3;2,25690909090909;0,188075757575758;1;702
"87649";10000;10000;0,1311;"36 months";"credit_card";0,1412;"CA";"RENT";7500;"680-684";12;3235;0;6;0,431333333333333;0,0359444444444444;1;682
"58739";5950;5950;0,1212;"36 months";"credit_card";0,2154;"FL";"MORTGAGE";5000;"690-694";9;47746;0;11;9,5492;0,795766666666667;1;692
"28808";10000;10000;0,1099;"36 months";"debt_consolidation";0,0823;"NY";"OWN";5833,33;"700-704";15;11620;0;0;1,99200113828636;0,166000094857197;1;702
"26877";4000;4000;0,1523;"36 months";"other";0,1073;"MA";"RENT";2916,67;"670-674";6;1651;1;6;0,566056495935433;0,0471713746612861;1;672
"13309";15000;14675;0,0788;"36 months";"home_improvement";0,0053;"VA";"MORTGAGE";10417;"780-784";8;1343;1;0;0,128923874436018;0,0107436562030015;0,978333333333333;782
"6128";10000;9850;0,1531;"36 months";"debt_consolidation";0,186;"NY";"RENT";2500;"665-669";8;9092;1;0;3,6368;0,303066666666667;0,985;667
"70785";8875;8875;0,1311;"36 months";"other";0,3046;"TX";"OWN";2166,67;"700-704";9;6797;1;2;3,13707209681216;0,261422674734347;1;702
"44672";2400;2400;0,1074;"36 months";"credit_card";0,112;"NY";"RENT";2000;"705-709";4;3055;0;11;1,5275;0,127291666666667;1;707
"13054";25000;24950;0,2053;"60 months";"debt_consolidation";0,185;"NJ";"RENT";8000;"675-679";9;19548;0;3;2,4435;0,203625;0,998;677
"103426";5500;5500;0,1607;"36 months";"other";0,1935;"FL";"MORTGAGE";3937,08;"685-689";6;689;8;11;0,175002793948815;0,0145835661624012;1;687
"4545";6000;6000;0,1253;"36 months";"credit_card";0,2307;"PA";"RENT";2916,67;"685-689";11;3334;0;2;1,14308440790353;0,0952570339919611;1;687
"82722";18000;18000;0,1905;"60 months";"debt_consolidation";0,0628;"MD";"MORTGAGE";7500;"690-694";8;20675;1;11;2,75666666666667;0,229722222222222;1;692
"40489";28000;27975;0,079;"36 months";"small_business";0,0581;"WA";"MORTGAGE";7000;"800-804";8;771;2;9;0,110142857142857;0,00917857142857143;0,999107142857143;802
"49956";32000;32000;0,1629;"60 months";"debt_consolidation";0,1514;"AZ";"RENT";7055;"725-729";8;16174;1;6;2,2925584691708;0,191046539097567;1;727
"69741";6000;6000;0,1311;"36 months";"credit_card";0,0453;"NY";"RENT";2625;"690-694";5;4299;1;11;1,63771428571429;0,13647619047619;1;692
"65248";7200;7200;0,089;"60 months";"debt_consolidation";0,2516;"LA";"MORTGAGE";3750;"750-754";13;7283;0;6;1,94213333333333;0,161844444444444;1;752
"75785";11500;11500;0,1114;"36 months";"debt_consolidation";0,1047;"AL";"RENT";2916,67;"700-704";6;9562;0;0;3,27839625326142;0,273199687771785;1;702
"27764";4800;4800;0,0542;"36 months";"major_purchase";0,1023;"FL";"MORTGAGE";6333,33;"790-794";13;10704;0;11;1,69010615268745;0,140842179390621;1;792
"43707";4000;4000;0,1065;"36 months";"debt_consolidation";0,234;"NC";"MORTGAGE";2333,33;"685-689";21;3522;0;7;1,50943072775818;0,125785893979849;1;687
"35025";15000;15000;0,1065;"36 months";"other";0,1436;"CA";"RENT";9083,33;"720-724";11;26902;0;3;2,9616891602529;0,246807430021075;1;722
